
Localização e custo total para o caso dados_grande_limpo
Resolução do Problema de Weber
Coordenadas: X = 792.91, Y = 83.39
Custo Total: CT = 172029521.20
---

Pontos de Interesse
(xi, yi)	|Qi	| Ci	| di
(533.1, 562.3)	|0.6	| 36.8	| 544.813
(85.9, 324.4)	|5.0	| 73.1	| 746.901
(399.9, 888.3)	|4.4	| 94.3	| 895.772
(908.0, 971.4)	|4.7	| 33.4	| 895.430
(702.2, 494.5)	|4.3	| 49.8	| 420.957
(954.9, 718.1)	|2.9	| 83.9	| 655.066
(198.5, 232.2)	|3.3	| 27.7	| 612.727
(447.2, 245.9)	|3.0	| 24.1	| 381.996
(200.8, 4.3)	|2.6	| 95.1	| 597.363
(968.1, 353.4)	|0.6	| 44.9	| 321.904
(525.8, 460.3)	|2.6	| 82.2	| 461.970
(681.7, 921.3)	|2.3	| 72.4	| 845.303
(997.5, 503.8)	|4.9	| 61.6	| 467.540
(709.1, 38.5)	|4.1	| 70.3	| 95.047
(458.1, 637.6)	|2.3	| 92.6	| 647.491
(851.1, 566.0)	|4.7	| 43.9	| 486.116
(90.4, 641.3)	|3.8	| 65.3	| 897.086
(852.3, 308.7)	|2.7	| 90.2	| 232.957
(971.1, 874.3)	|0.7	| 39.1	| 810.701
(701.0, 900.4)	|1.3	| 71.8	| 822.188
(370.6, 198.7)	|3.7	| 97.4	| 437.752
(913.8, 565.3)	|1.3	| 89.6	| 496.855
(486.2, 980.5)	|2.9	| 77.7	| 948.107
(150.6, 978.7)	|0.6	| 72.4	| 1101.919
(142.5, 182.0)	|2.8	| 55.2	| 657.796
(641.7, 363.3)	|1.4	| 54.0	| 318.143
(450.1, 588.8)	|4.0	| 97.3	| 610.668
(613.0, 370.6)	|4.5	| 25.3	| 338.878
(966.0, 183.4)	|3.4	| 42.4	| 199.881
(0.3, 342.3)	|3.9	| 78.6	| 833.809
(289.6, 572.2)	|1.2	| 79.1	| 701.619
(897.4, 129.1)	|1.2	| 99.0	| 114.027
(819.0, 337.8)	|4.3	| 79.6	| 255.714
(321.2, 725.9)	|1.8	| 76.7	| 797.058
(589.3, 940.3)	|4.5	| 17.0	| 880.787
(183.2, 535.7)	|3.5	| 68.6	| 759.175
(886.3, 696.8)	|1.3	| 32.6	| 620.453
(592.0, 193.1)	|2.3	| 36.0	| 228.965
(144.3, 438.4)	|2.0	| 92.2	| 739.409
(940.3, 785.1)	|3.1	| 83.5	| 717.032
(802.3, 438.6)	|3.6	| 11.6	| 355.333
(358.1, 723.9)	|1.8	| 15.0	| 774.100
(489.2, 323.7)	|4.0	| 78.5	| 387.315
(479.4, 837.5)	|3.7	| 60.3	| 816.659
(939.6, 611.6)	|2.1	| 55.2	| 548.172
(585.7, 113.2)	|4.0	| 25.1	| 209.334
(359.6, 80.2)	|0.5	| 44.1	| 433.307
(515.8, 78.0)	|4.4	| 98.6	| 277.181
(836.1, 229.7)	|0.8	| 57.8	| 152.576
(467.3, 275.6)	|3.7	| 30.1	| 378.095
(376.9, 361.6)	|3.0	| 95.4	| 500.439
(88.1, 349.8)	|3.6	| 80.9	| 753.440
(653.7, 344.1)	|3.9	| 84.7	| 295.519
(696.6, 230.2)	|1.1	| 37.7	| 175.575
(565.1, 345.2)	|1.6	| 27.9	| 347.024
(611.4, 830.2)	|3.7	| 58.5	| 768.587
(715.3, 180.3)	|4.4	| 38.7	| 124.155
(820.9, 174.2)	|2.8	| 88.3	| 95.023
(28.2, 895.9)	|3.9	| 24.1	| 1115.799
(772.1, 329.2)	|1.0	| 33.8	| 246.726
(623.7, 278.5)	|1.7	| 50.7	| 258.276
(316.4, 758.6)	|2.1	| 13.3	| 826.448
(890.7, 224.8)	|3.5	| 25.6	| 171.899
(420.4, 207.0)	|4.4	| 82.0	| 392.481
(449.8, 333.0)	|3.6	| 27.8	| 424.293
(59.9, 701.8)	|4.7	| 74.6	| 959.024
(804.7, 737.6)	|1.7	| 77.5	| 654.268
(204.6, 647.0)	|4.6	| 85.7	| 814.698
(340.9, 836.4)	|2.2	| 39.9	| 878.240
(313.3, 599.0)	|1.7	| 12.9	| 704.135
(599.5, 927.1)	|4.1	| 45.8	| 865.598
(393.3, 253.3)	|2.3	| 63.0	| 434.234
(263.4, 991.0)	|4.3	| 89.3	| 1050.791
(374.9, 927.5)	|4.8	| 52.8	| 941.929
(71.9, 266.2)	|3.4	| 15.8	| 743.797
(809.4, 355.2)	|2.6	| 72.3	| 272.310
(951.7, 232.7)	|0.6	| 49.1	| 217.987
(537.6, 574.0)	|1.3	| 47.6	| 553.055
(662.9, 818.0)	|1.9	| 99.6	| 746.016
(938.7, 592.5)	|4.4	| 90.3	| 529.555
(400.4, 463.3)	|0.6	| 98.6	| 546.238
(798.8, 143.5)	|3.7	| 32.9	| 60.385
(31.7, 343.1)	|3.2	| 78.4	| 804.258
(786.3, 811.6)	|3.4	| 34.1	| 728.277
(835.3, 175.9)	|1.7	| 25.8	| 101.737
(439.7, 733.4)	|0.5	| 31.9	| 739.764
(582.0, 327.2)	|4.1	| 42.7	| 322.349
(906.5, 595.2)	|0.7	| 38.3	| 524.231
(336.3, 610.3)	|1.9	| 53.0	| 697.234
(443.4, 650.7)	|4.7	| 94.9	| 666.317
(883.6, 844.6)	|2.3	| 79.5	| 766.588
(184.9, 725.0)	|1.8	| 75.2	| 883.869
(559.4, 749.7)	|4.8	| 57.5	| 706.083
(321.1, 542.2)	|4.6	| 82.3	| 658.051
(843.5, 493.5)	|2.1	| 25.8	| 413.188
(905.3, 646.0)	|0.9	| 89.6	| 573.714
(506.6, 889.4)	|1.2	| 70.3	| 855.365
(307.8, 626.8)	|3.0	| 44.4	| 728.451
(42.8, 164.7)	|4.3	| 96.5	| 754.486
(653.7, 81.7)	|1.0	| 33.1	| 139.249
(286.4, 700.1)	|2.2	| 54.7	| 798.096
(667.1, 885.3)	|4.4	| 56.2	| 811.756
(928.6, 661.5)	|3.6	| 44.1	| 593.792
(875.8, 465.7)	|3.3	| 15.9	| 391.157
(921.3, 596.9)	|4.0	| 12.2	| 529.331
(607.1, 413.2)	|5.0	| 15.9	| 378.532
(658.5, 632.2)	|1.2	| 51.2	| 564.987
(443.8, 295.9)	|0.8	| 65.4	| 408.715
(177.9, 465.6)	|4.8	| 57.5	| 724.111
(179.2, 291.6)	|4.4	| 95.5	| 648.016
(686.8, 376.0)	|5.0	| 79.5	| 311.244
(756.2, 239.6)	|1.5	| 86.3	| 160.418
(279.6, 262.5)	|3.2	| 22.6	| 543.622
(451.4, 493.9)	|2.9	| 95.4	| 533.994
(587.6, 224.2)	|0.7	| 27.8	| 248.958
(320.1, 90.7)	|4.8	| 29.2	| 472.865
(619.9, 707.6)	|1.6	| 59.8	| 647.711
(511.3, 703.1)	|3.2	| 57.0	| 680.703
(659.5, 563.7)	|4.5	| 13.3	| 498.508
(253.0, 650.1)	|2.2	| 26.9	| 782.696
(322.8, 476.5)	|3.9	| 49.4	| 612.820
(473.3, 606.2)	|4.1	| 35.2	| 612.723
(345.1, 191.1)	|3.3	| 41.6	| 460.594
(480.4, 522.6)	|1.1	| 79.7	| 539.052
(314.8, 197.4)	|1.0	| 25.8	| 491.466
(559.9, 253.1)	|3.5	| 41.9	| 288.253
(507.3, 874.0)	|1.5	| 52.9	| 840.563
(971.2, 788.2)	|2.1	| 96.4	| 726.995
(510.0, 13.8)	|3.4	| 31.8	| 291.375
(437.2, 916.3)	|1.6	| 42.8	| 905.709
(572.6, 789.9)	|4.5	| 71.6	| 740.019
(678.1, 911.2)	|2.5	| 29.6	| 835.743
(798.6, 757.5)	|2.4	| 80.5	| 674.120
(921.2, 961.0)	|4.5	| 67.6	| 886.960
(343.8, 472.7)	|2.6	| 37.2	| 594.362
(839.2, 46.1)	|3.3	| 66.4	| 59.434
(198.3, 516.4)	|4.4	| 56.8	| 735.550
(210.8, 547.6)	|3.1	| 67.6	| 744.546
(341.3, 420.1)	|4.7	| 69.7	| 563.344
(153.9, 224.8)	|1.6	| 26.4	| 654.464
(737.6, 37.1)	|4.8	| 74.6	| 72.133
(882.6, 558.1)	|3.5	| 45.8	| 483.150
(290.5, 933.5)	|0.6	| 55.4	| 987.486
(545.9, 370.1)	|4.5	| 80.9	| 378.486
(525.9, 406.4)	|4.7	| 13.9	| 419.094
(904.8, 960.2)	|1.0	| 41.4	| 883.922
(828.7, 403.6)	|4.1	| 99.4	| 322.174
(8.9, 747.8)	|2.1	| 74.0	| 1027.680
(83.0, 40.8)	|2.4	| 56.1	| 711.228
(401.3, 320.4)	|4.8	| 82.5	| 457.718
(934.6, 496.3)	|1.3	| 57.9	| 436.566
(814.2, 194.5)	|4.7	| 30.3	| 113.103
(990.4, 300.2)	|4.2	| 40.8	| 293.270
(739.2, 487.1)	|4.4	| 96.7	| 407.318
(800.0, 631.5)	|4.1	| 14.0	| 548.121
(634.8, 585.4)	|2.1	| 42.8	| 526.366
(530.9, 91.5)	|2.9	| 29.5	| 262.170
(341.7, 528.3)	|0.7	| 28.6	| 633.708
(492.2, 187.3)	|3.7	| 55.8	| 318.118
(343.6, 935.6)	|2.6	| 49.0	| 963.416
(637.4, 288.5)	|1.5	| 72.5	| 257.409
(185.2, 620.5)	|3.5	| 70.5	| 811.054
(636.9, 757.3)	|1.9	| 53.0	| 691.677
(970.6, 54.1)	|4.9	| 61.0	| 180.067
(534.5, 728.7)	|1.2	| 98.5	| 695.103
(705.5, 148.1)	|2.1	| 71.6	| 108.764
(276.6, 524.6)	|4.2	| 23.1	| 679.169
(949.6, 833.2)	|2.9	| 22.8	| 765.969
(37.6, 789.0)	|4.0	| 24.7	| 1033.642
(158.4, 8.5)	|0.8	| 50.3	| 638.930
(577.9, 669.1)	|3.6	| 27.1	| 623.898
(287.8, 471.2)	|1.5	| 80.3	| 636.776
(470.6, 553.8)	|4.9	| 97.4	| 570.268
(3.6, 483.9)	|2.3	| 86.0	| 885.138
(471.4, 422.7)	|4.9	| 98.6	| 467.448
(686.6, 468.1)	|3.0	| 39.0	| 399.082
(985.9, 566.5)	|0.8	| 62.2	| 520.201
(719.6, 142.1)	|4.8	| 25.9	| 93.904
(851.8, 508.8)	|4.0	| 86.4	| 429.428
(302.4, 884.1)	|1.5	| 33.3	| 939.003
(711.4, 509.6)	|1.9	| 24.6	| 433.953
(139.6, 126.3)	|1.4	| 63.3	| 654.661
(381.0, 925.5)	|2.3	| 63.0	| 937.437
(369.0, 747.4)	|3.7	| 31.9	| 787.827
(300.7, 245.9)	|1.6	| 81.9	| 518.326
(921.3, 721.7)	|3.4	| 87.3	| 651.083
(518.1, 307.2)	|3.9	| 97.1	| 354.430
(209.9, 249.1)	|1.3	| 29.7	| 606.096
(856.6, 101.2)	|4.3	| 78.2	| 66.145
(322.2, 270.7)	|2.6	| 54.3	| 506.568
(88.8, 392.0)	|4.7	| 57.2	| 768.773
(25.2, 38.5)	|4.5	| 61.1	| 769.047
(986.8, 393.7)	|1.9	| 53.0	| 365.946
(432.2, 14.6)	|2.3	| 39.4	| 367.174
(438.8, 613.5)	|1.7	| 56.6	| 637.547
(928.5, 711.6)	|3.6	| 85.9	| 642.710
(842.0, 464.6)	|3.3	| 40.2	| 384.310
(48.0, 153.6)	|2.8	| 50.8	| 748.157
(383.7, 200.8)	|4.9	| 98.9	| 425.684
(789.9, 979.2)	|4.1	| 45.5	| 895.835
(989.0, 630.2)	|2.1	| 55.1	| 580.895
(348.9, 413.0)	|3.6	| 89.4	| 552.999
(23.4, 225.9)	|4.6	| 63.7	| 782.570
(722.7, 352.8)	|4.0	| 50.0	| 278.457
(25.6, 243.5)	|3.0	| 51.4	| 783.796
(73.5, 622.6)	|3.4	| 43.1	| 899.035
(865.0, 255.1)	|3.4	| 25.1	| 186.179
(579.9, 965.6)	|3.3	| 52.8	| 907.567
(179.7, 521.1)	|1.0	| 44.6	| 753.437
(508.3, 60.0)	|3.8	| 20.6	| 285.575
(901.1, 871.5)	|1.0	| 82.4	| 795.495
(878.4, 552.2)	|0.9	| 70.8	| 476.540
(713.0, 270.7)	|1.3	| 28.2	| 203.656
(81.4, 393.9)	|3.4	| 80.2	| 776.312
(499.7, 494.1)	|3.8	| 12.1	| 504.579
(165.0, 68.2)	|4.5	| 90.2	| 628.067
(95.3, 954.5)	|1.5	| 34.4	| 1116.017
(181.2, 224.2)	|4.0	| 17.1	| 627.750
(145.8, 384.7)	|2.5	| 91.1	| 713.858
(294.2, 560.6)	|1.1	| 97.2	| 690.223
(339.0, 741.8)	|3.1	| 82.0	| 799.678
(77.2, 194.8)	|3.7	| 31.7	| 724.374
(702.1, 865.6)	|2.1	| 34.6	| 787.422
(509.7, 945.2)	|3.6	| 95.8	| 907.148
(546.2, 21.1)	|1.6	| 31.6	| 254.461
(245.4, 243.2)	|4.7	| 15.3	| 570.381
(794.5, 475.6)	|3.8	| 15.3	| 392.242
(762.0, 959.3)	|3.1	| 91.1	| 876.472
(612.6, 90.8)	|3.4	| 94.5	| 180.459
(60.4, 627.9)	|4.3	| 58.0	| 912.726
(233.4, 548.5)	|2.0	| 32.3	| 727.560
(506.4, 847.4)	|5.0	| 74.0	| 815.914
(361.8, 481.4)	|1.3	| 56.1	| 586.741
(359.3, 994.0)	|1.4	| 37.3	| 1008.579
(727.4, 276.5)	|0.7	| 53.7	| 203.892
(462.3, 820.1)	|4.1	| 87.1	| 807.497
(493.6, 688.5)	|4.0	| 65.2	| 675.138
(304.6, 243.3)	|4.6	| 40.7	| 513.865
(178.4, 515.4)	|1.2	| 55.9	| 751.167
(658.9, 662.1)	|2.0	| 45.1	| 594.001
(803.3, 873.8)	|3.5	| 99.4	| 790.500
(542.0, 830.4)	|0.9	| 66.4	| 788.048
(649.8, 480.2)	|2.9	| 43.0	| 421.838
(581.5, 914.0)	|2.0	| 44.0	| 857.110
(392.9, 373.4)	|2.4	| 96.8	| 494.039
(283.2, 668.4)	|2.5	| 95.6	| 775.901
(747.9, 883.3)	|3.3	| 65.5	| 801.151
(645.7, 904.7)	|2.7	| 80.3	| 834.356
(261.5, 884.1)	|4.7	| 41.5	| 960.985
(511.9, 434.1)	|4.0	| 30.6	| 449.408
(830.8, 426.4)	|3.8	| 90.7	| 345.136
(72.1, 561.5)	|1.2	| 71.5	| 864.956
(714.7, 950.8)	|1.1	| 77.0	| 870.907
(894.4, 422.6)	|3.0	| 45.4	| 354.058
(481.9, 883.1)	|3.5	| 86.1	| 858.076
(714.5, 306.3)	|4.8	| 27.6	| 236.249
(222.6, 902.0)	|3.8	| 59.8	| 997.702
(214.4, 652.7)	|4.6	| 13.3	| 811.684
(281.1, 543.7)	|3.3	| 95.4	| 688.375
(22.2, 922.8)	|4.4	| 14.6	| 1139.557
(999.8, 964.8)	|3.1	| 98.1	| 905.375
(884.6, 46.9)	|3.5	| 16.8	| 98.656
(854.9, 234.5)	|1.1	| 96.7	| 163.336
(147.2, 851.0)	|3.3	| 38.8	| 1003.082
(488.5, 650.2)	|3.0	| 56.4	| 643.374
(252.1, 486.7)	|3.6	| 62.5	| 674.645
(908.2, 212.8)	|4.3	| 37.2	| 173.328
(580.8, 725.2)	|3.4	| 77.8	| 675.915
(732.4, 973.6)	|4.2	| 46.7	| 892.273
(76.6, 78.5)	|2.0	| 66.4	| 716.303
(385.8, 35.2)	|2.9	| 35.7	| 409.935
(221.2, 518.7)	|1.6	| 86.7	| 718.612
(604.3, 805.1)	|4.8	| 24.2	| 745.972
(47.2, 475.3)	|1.9	| 77.7	| 842.473
(31.2, 745.4)	|2.9	| 78.0	| 1009.203
(197.0, 562.7)	|1.1	| 41.3	| 764.746
(425.8, 645.2)	|2.6	| 65.2	| 671.101
(76.6, 424.0)	|1.9	| 86.2	| 793.104
(229.3, 383.6)	|2.4	| 76.7	| 638.553
(89.4, 828.1)	|3.5	| 61.6	| 1024.475
(255.1, 526.0)	|2.2	| 53.0	| 696.537
(110.6, 624.5)	|2.9	| 38.6	| 870.833
(543.7, 533.3)	|2.5	| 74.1	| 514.377
(52.0, 652.2)	|2.5	| 71.4	| 934.105
(306.4, 31.1)	|1.7	| 46.2	| 489.331
(334.2, 128.1)	|3.0	| 69.4	| 460.917
(907.3, 379.5)	|1.3	| 34.1	| 317.421
(587.4, 35.5)	|1.3	| 79.1	| 210.994
(241.2, 344.4)	|2.2	| 76.0	| 610.297
(237.0, 357.3)	|3.3	| 87.1	| 619.729
(841.1, 408.4)	|0.6	| 48.4	| 328.532
(976.5, 621.8)	|3.2	| 55.5	| 568.804
(285.7, 702.6)	|1.3	| 44.0	| 800.423
(299.3, 405.9)	|1.7	| 40.0	| 589.630
(757.5, 445.8)	|4.9	| 72.2	| 364.117
(68.4, 199.5)	|2.8	| 27.7	| 733.749
(557.9, 141.3)	|2.8	| 77.1	| 242.058
(683.4, 302.7)	|4.5	| 76.6	| 245.077
(304.6, 797.5)	|4.9	| 77.7	| 865.100
(126.0, 122.4)	|3.4	| 17.5	| 668.077
(263.2, 388.0)	|0.8	| 65.2	| 611.061
(825.6, 357.1)	|4.4	| 52.7	| 275.695
(229.1, 151.0)	|2.8	| 69.4	| 567.818
(99.5, 132.9)	|4.0	| 42.5	| 695.211
(664.8, 354.4)	|0.8	| 73.3	| 299.779
(327.1, 978.8)	|2.8	| 91.8	| 1009.286
(71.4, 702.5)	|4.8	| 84.6	| 950.693
(469.6, 497.1)	|2.7	| 29.5	| 525.040
(788.2, 869.8)	|2.8	| 33.9	| 786.405
(969.4, 215.3)	|3.6	| 27.2	| 220.299
(808.0, 348.3)	|2.0	| 64.8	| 265.295
(404.6, 626.9)	|0.7	| 44.1	| 667.965
(305.4, 222.7)	|0.6	| 95.5	| 507.012
(345.1, 392.2)	|3.8	| 23.2	| 543.899
(71.3, 257.2)	|3.7	| 21.6	| 742.223
(290.5, 987.9)	|2.9	| 38.5	| 1034.607
(29.3, 357.7)	|0.6	| 33.4	| 811.359
(507.3, 286.3)	|4.3	| 77.9	| 350.308
(464.8, 919.9)	|1.5	| 92.5	| 898.547
(446.6, 532.5)	|1.4	| 63.1	| 567.141
(182.7, 739.7)	|0.6	| 52.0	| 896.137
(315.5, 772.0)	|1.7	| 90.6	| 837.914
(217.8, 971.4)	|4.3	| 78.8	| 1057.915
(12.1, 68.4)	|3.8	| 89.1	| 780.923
(776.2, 544.1)	|2.1	| 39.0	| 461.034
(495.9, 397.5)	|1.6	| 18.6	| 432.297
(426.6, 878.6)	|3.8	| 38.6	| 875.559
(98.0, 276.2)	|2.5	| 71.8	| 721.207
(160.4, 669.5)	|0.9	| 77.5	| 862.275
(645.4, 797.7)	|3.5	| 71.8	| 729.377
(135.9, 186.7)	|2.5	| 80.8	| 665.071
(869.7, 891.1)	|0.9	| 31.5	| 811.386
(805.5, 945.9)	|3.3	| 69.1	| 862.596
(337.9, 866.8)	|2.7	| 91.0	| 905.990
(93.1, 342.9)	|3.6	| 91.8	| 746.403
(494.6, 873.5)	|2.5	| 21.5	| 844.528
(350.7, 857.5)	|1.3	| 68.1	| 891.496
(625.9, 552.3)	|4.9	| 80.4	| 497.730
(23.6, 814.7)	|2.6	| 57.6	| 1061.451
(220.1, 919.1)	|3.7	| 78.0	| 1013.191
(91.8, 165.3)	|2.4	| 55.1	| 705.857
(109.8, 727.2)	|0.7	| 51.9	| 938.661
(566.9, 48.7)	|4.4	| 41.1	| 228.635
(991.9, 436.0)	|3.8	| 21.2	| 404.900
(964.4, 200.3)	|2.6	| 34.7	| 207.576
(150.7, 897.9)	|3.6	| 92.5	| 1037.211
(46.1, 636.1)	|0.7	| 56.1	| 929.105
(348.2, 0.7)	|2.6	| 84.2	| 452.328
(302.1, 134.0)	|1.2	| 48.8	| 493.420
(985.4, 847.8)	|1.4	| 84.0	| 788.285
(74.9, 826.3)	|3.9	| 74.5	| 1033.194
(10.0, 685.4)	|3.2	| 52.0	| 987.614
(81.2, 784.7)	|3.1	| 65.5	| 999.167
(185.5, 93.7)	|3.7	| 12.0	| 607.444
(706.3, 572.5)	|0.7	| 12.4	| 496.756
(287.5, 475.1)	|4.6	| 38.2	| 639.425
(319.1, 240.8)	|2.9	| 70.7	| 499.260
(488.6, 468.3)	|2.1	| 50.0	| 490.643
(65.1, 706.3)	|1.2	| 11.9	| 957.963
(825.9, 753.7)	|3.0	| 30.4	| 671.151
(887.7, 481.1)	|4.5	| 22.3	| 408.875
(418.8, 4.0)	|3.3	| 35.9	| 382.461
(475.6, 223.7)	|4.6	| 17.2	| 346.968
(531.7, 140.6)	|3.7	| 15.4	| 267.379
(484.7, 651.2)	|0.6	| 28.4	| 646.071
(533.8, 24.5)	|3.9	| 42.6	| 265.724
(829.0, 193.7)	|2.7	| 74.5	| 116.040
(760.1, 115.7)	|1.0	| 63.6	| 46.084
(400.2, 945.6)	|2.0	| 37.9	| 947.445
(544.8, 364.7)	|3.0	| 66.4	| 375.073
(143.5, 188.2)	|3.4	| 31.7	| 657.789
(596.8, 909.7)	|1.8	| 96.5	| 849.295
(784.0, 202.2)	|4.6	| 38.8	| 119.134
(516.8, 639.0)	|2.9	| 87.0	| 620.434
(538.9, 925.8)	|1.1	| 74.2	| 879.896
(355.7, 963.5)	|4.6	| 37.0	| 982.698
(989.4, 325.5)	|0.8	| 77.3	| 311.791
(817.7, 161.9)	|1.4	| 80.5	| 82.350
(14.3, 437.4)	|3.7	| 76.6	| 855.257
(747.5, 487.6)	|1.0	| 69.0	| 406.698
(225.4, 455.6)	|3.7	| 21.7	| 678.653
(419.4, 560.4)	|0.5	| 89.7	| 605.807
(814.9, 508.2)	|3.1	| 67.1	| 425.340
(28.1, 104.8)	|1.1	| 52.8	| 765.095
(63.7, 82.1)	|4.2	| 92.6	| 729.171
(153.4, 23.9)	|4.4	| 69.5	| 642.264
(299.2, 622.1)	|1.7	| 12.9	| 730.741
(22.8, 179.4)	|4.7	| 21.2	| 776.064
(69.7, 738.7)	|1.5	| 26.8	| 975.973
(803.3, 557.7)	|1.3	| 62.5	| 474.372
(977.2, 706.6)	|1.5	| 14.0	| 649.917
(411.1, 119.4)	|1.7	| 71.5	| 383.516
(352.2, 729.5)	|2.2	| 28.3	| 782.059
(908.5, 770.0)	|2.3	| 34.3	| 696.231
(828.1, 922.0)	|1.2	| 34.2	| 839.300
(83.0, 514.7)	|2.4	| 57.9	| 830.663
(847.8, 642.7)	|4.0	| 12.9	| 562.009
(14.9, 726.8)	|3.9	| 14.3	| 1009.604
(433.0, 660.3)	|1.2	| 20.1	| 679.966
(954.0, 908.2)	|0.5	| 47.6	| 840.392
(195.5, 459.1)	|2.3	| 25.3	| 705.746
(425.9, 589.7)	|0.9	| 77.3	| 625.316
(656.5, 369.6)	|2.9	| 83.7	| 317.002
(264.4, 920.2)	|4.4	| 78.0	| 989.702
(853.5, 581.0)	|1.3	| 47.9	| 501.244
(653.3, 197.0)	|4.8	| 62.2	| 180.004
(529.3, 887.9)	|2.9	| 55.8	| 846.552
(836.5, 105.1)	|3.3	| 60.7	| 48.739
(857.1, 975.5)	|4.3	| 43.1	| 894.456
(803.2, 296.9)	|0.9	| 98.1	| 213.720
(177.1, 222.5)	|1.3	| 89.4	| 631.284
(930.8, 378.9)	|0.5	| 21.4	| 326.068
(307.7, 341.6)	|3.1	| 49.7	| 549.617
(738.3, 725.9)	|3.9	| 46.5	| 644.859
(567.1, 621.3)	|3.2	| 16.8	| 583.358
(741.6, 929.6)	|3.0	| 19.0	| 847.758
(433.9, 279.7)	|3.0	| 15.7	| 409.171
(738.8, 566.4)	|3.2	| 94.1	| 486.066
(995.2, 191.0)	|0.9	| 23.5	| 229.150
(884.6, 716.0)	|0.9	| 82.5	| 639.232
(814.1, 219.9)	|4.6	| 86.9	| 138.173
(266.1, 101.5)	|2.3	| 72.3	| 527.080
(748.7, 801.1)	|2.0	| 67.4	| 719.116
(278.4, 808.0)	|2.7	| 31.1	| 888.661
(436.4, 932.1)	|3.4	| 10.3	| 920.581
(764.1, 727.1)	|4.2	| 66.2	| 644.321
(210.9, 198.4)	|3.8	| 15.2	| 593.224
(820.5, 313.9)	|3.0	| 89.0	| 232.168
(218.1, 555.7)	|4.4	| 94.9	| 743.952
(290.1, 931.0)	|3.0	| 94.1	| 985.506
(239.5, 581.5)	|1.2	| 48.2	| 744.553
(484.0, 713.5)	|1.3	| 68.1	| 701.742
(815.4, 615.2)	|4.5	| 77.3	| 532.318
(689.5, 760.8)	|3.4	| 49.7	| 685.277
(561.1, 800.8)	|2.3	| 68.6	| 753.916
(280.4, 911.3)	|4.5	| 19.6	| 973.725
(242.0, 404.9)	|4.2	| 75.6	| 637.898
(655.3, 476.9)	|2.3	| 43.6	| 416.849
(972.9, 938.1)	|3.8	| 41.3	| 873.500
(194.1, 834.6)	|4.8	| 48.7	| 960.724
(223.0, 565.4)	|0.6	| 49.0	| 746.361
(947.3, 51.7)	|1.2	| 79.9	| 157.571
(822.8, 429.4)	|2.3	| 42.4	| 347.340
(401.3, 58.1)	|3.4	| 28.4	| 392.433
(626.5, 262.6)	|4.4	| 89.0	| 244.588
(777.5, 901.7)	|2.3	| 93.5	| 818.426
(835.7, 883.2)	|4.6	| 92.9	| 800.943
(182.6, 32.7)	|2.5	| 65.1	| 612.447
(971.2, 329.5)	|3.0	| 75.4	| 303.936
(383.2, 654.1)	|2.6	| 23.6	| 702.568
(914.0, 487.1)	|4.5	| 40.9	| 421.464
(180.5, 979.2)	|1.4	| 40.4	| 1085.153
(79.9, 952.7)	|1.8	| 82.0	| 1124.268
(632.9, 347.3)	|2.1	| 33.3	| 308.609
(144.9, 884.5)	|2.3	| 39.9	| 1030.378
(308.3, 113.0)	|1.9	| 98.2	| 485.486
(64.7, 694.7)	|4.7	| 70.8	| 950.767
(615.6, 991.4)	|1.2	| 92.3	| 925.163
(766.2, 192.0)	|3.9	| 81.5	| 111.807
(286.3, 954.5)	|2.6	| 35.4	| 1007.695
(13.5, 926.8)	|4.9	| 17.9	| 1148.380
(520.7, 387.7)	|3.7	| 92.2	| 408.246
(651.9, 868.5)	|2.2	| 79.4	| 797.637
(969.0, 479.1)	|2.8	| 70.8	| 433.149
(550.3, 150.9)	|1.4	| 39.8	| 251.808
(108.5, 218.3)	|1.9	| 40.7	| 697.604
(390.2, 886.2)	|2.0	| 58.7	| 898.145
(89.3, 837.3)	|4.1	| 36.6	| 1031.237
(382.5, 758.8)	|2.0	| 73.4	| 790.314
(188.0, 27.7)	|3.1	| 78.6	| 607.418
(833.2, 165.4)	|4.1	| 46.9	| 91.398
(871.0, 162.1)	|1.9	| 23.2	| 110.865
(633.3, 923.2)	|3.8	| 38.1	| 854.838
(52.5, 851.3)	|2.3	| 12.0	| 1066.730
(703.9, 664.4)	|4.7	| 39.0	| 587.780
(439.5, 346.9)	|1.3	| 90.7	| 440.860
(328.1, 701.2)	|2.9	| 24.4	| 773.125
(180.4, 425.9)	|2.3	| 35.2	| 701.793
(233.1, 972.2)	|1.6	| 43.7	| 1050.380
(260.8, 407.5)	|3.6	| 29.2	| 623.047
(107.7, 446.5)	|4.5	| 36.1	| 775.478
(968.2, 552.2)	|0.9	| 19.3	| 500.492
(348.9, 873.6)	|2.2	| 99.5	| 906.351
(94.2, 18.2)	|4.4	| 42.6	| 701.722
(442.1, 351.1)	|0.8	| 66.5	| 441.310
(720.9, 919.0)	|3.4	| 61.2	| 838.688
(210.8, 293.8)	|1.7	| 46.7	| 618.974
(913.5, 86.6)	|2.6	| 31.1	| 120.622
(102.6, 50.6)	|0.9	| 98.9	| 691.050
(62.2, 899.9)	|3.6	| 72.0	| 1095.781
(847.0, 94.7)	|3.5	| 98.6	| 55.229
(573.5, 33.3)	|4.3	| 59.2	| 225.016
(114.0, 622.2)	|3.9	| 17.3	| 866.697
(613.2, 723.2)	|3.0	| 50.7	| 664.585
(789.9, 884.7)	|4.1	| 84.6	| 801.316
